City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Port Moresby,PG,89.02,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
3,Airai,TL,80.55,overcast clouds,-8.9266,125.4092,Juvinal Martin
8,Grand Gaube,MU,76.37,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
10,Nisia Floresta,BR,79.61,broken clouds,-6.0911,-35.2086,Rancho Crepusculo
13,Muriae,BR,71.67,overcast clouds,-21.1306,-42.3664,Premium Plaza Hotel
14,Bilaspur,IN,74.44,clear sky,22.0833,82.15,Hotel East Park
16,Rikitea,PF,74.68,scattered clouds,-23.1203,-134.9692,People ThankYou
18,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
19,Malakal,SS,74.62,broken clouds,9.5334,31.6605,Nile Palace Hotel
23,Carnarvon,AU,75.27,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
26,Faanui,PF,76.62,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
27,San Patricio,US,80.89,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
31,Bubaque,GW,82.15,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
33,Souillac,MU,76.35,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
35,Saint-Joseph,RE,71.98,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
40,Hilo,US,76.73,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
46,Sungairaya,ID,88.03,overcast clouds,0.7,108.9,Mess P.Milu
53,Cabedelo,BR,79.47,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
59,Trelew,AR,70.07,overcast clouds,-43.249,-65.3051,Hotel Touring Club
60,Saint-Philippe,RE,73.22,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
61,Magadi,IN,73.74,overcast clouds,12.9667,77.2333,SVB Caters
63,Pochutla,MX,78.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
67,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
68,Harper,LR,77.32,overcast clouds,4.375,-7.7169,Screensaver
70,Humaita,BR,75.11,broken clouds,-7.5061,-63.0208,Corrêa Hotel
72,Cartagena,CO,83.82,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
74,Praia,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
75,Kapaa,US,84.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
77,Bengkulu,ID,75.6,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
85,Arlit,NE,78.35,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
92,Daru,PG,84.7,overcast clouds,-9.0763,143.2092,Daru Lodge
94,Aquiraz,BR,81.18,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
96,Hithadhoo,MV,82.94,few clouds,-0.6,73.0833,Scoop Guest House
104,Martapura,ID,87.89,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
105,Lunglei,IN,73.49,scattered clouds,22.8833,92.7333,Hotel Elite
113,Mattru,SL,73.63,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
115,Caravelas,BR,76.71,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
117,Matamoros,MX,78.91,clear sky,25.5333,-103.25,Quinta Belem
121,Maceio,BR,76.44,clear sky,-9.6658,-35.7353,Poutur Pousada
123,Minab,IR,78.3,clear sky,27.1467,57.0801,Bam campground
125,Isangel,VU,82.51,broken clouds,-19.55,169.2667,Tanna Lodge
126,Butaritari,KI,82.06,clear sky,3.0707,172.7902,Isles Sunset Lodge
127,Ahuimanu,US,83.91,broken clouds,21.4447,-157.8378,Paradise Bay Resort
128,Gushikawa,JP,80.19,light intensity drizzle,26.3544,127.8686,Kirari Guest House
132,Boa Vista,BR,84.18,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
133,Atuona,PF,78.13,clear sky,-9.8,-139.0333,Villa Enata
135,Touros,BR,79.7,clear sky,-5.1989,-35.4608,INN NEW HORIZON
137,Mataura,NZ,71.17,overcast clouds,-46.1927,168.8643,Ellie's Villa
141,Jalu,LY,70.36,scattered clouds,29.0331,21.5482,صاحبة الفخامة
143,Kutum,SD,70.92,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
144,Tulagi,SB,83.23,overcast clouds,-9.0996,160.1476,Raiders Hotel & Dive
145,Esperance,AU,84.04,overcast clouds,-33.8667,121.9,Hospitality Esperance
146,Mahebourg,MU,76.24,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
150,Hambantota,LK,80.94,broken clouds,6.1241,81.1185,Bungalow 63
153,Buala,SB,85.03,light rain,-8.145,159.5921,Maringe Lagoon Lodge
160,The Valley,AI,82.26,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
161,Sao Joao Da Barra,BR,71.82,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
162,Les Cayes,HT,78.13,broken clouds,18.2,-73.75,Villa Orphee
166,Malumfashi,NG,73.51,broken clouds,11.7853,7.6218,INFINITY CYBER CAFE MALUMFASHI
167,Dingle,PH,86.16,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
169,Pyu,MM,82.33,scattered clouds,18.4833,96.4333,Mr Bo Bo
170,Hamilton,US,70.57,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
171,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
173,Maragogi,BR,75.85,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
179,Marawi,PH,76.64,few clouds,7.9986,124.2928,Derogongan Residence
182,Sumter,US,75.97,overcast clouds,28.7086,-82.0831,Paradise Oaks RV Resort
193,Turbat,PK,74.89,clear sky,26.0023,63.044,Mubashar Quarters
