City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Severo-Kurilsk,RU,50.6789,156.125,39.97,64,95,14.81,overcast clouds
1,Puerto Ayora,EC,-0.7393,-90.3518,68.56,94,95,3.0,overcast clouds
2,Port Moresby,PG,-9.4431,147.1797,89.02,70,75,16.11,haze
3,Airai,TL,-8.9266,125.4092,80.55,38,94,2.33,overcast clouds
4,Shache,CN,38.4167,77.2406,50.49,32,100,3.02,overcast clouds
5,Udachnyy,RU,66.4167,112.4,21.58,96,99,2.91,overcast clouds
6,Teguldet,RU,57.3064,88.1667,42.33,94,100,9.15,light rain
7,Senno,RU,59.5336,33.9167,27.27,78,100,7.81,snow
8,Grand Gaube,MU,-20.0064,57.6608,76.37,67,78,8.01,broken clouds
9,Korsor,DK,55.3299,11.1386,45.99,82,5,15.57,clear sky
10,Nisia Floresta,BR,-6.0911,-35.2086,79.61,82,76,7.0,broken clouds
11,Tuktoyaktuk,CA,69.4541,-133.0374,23.0,100,40,4.61,mist
12,Ust-Kulom,RU,61.6864,53.6902,28.78,88,100,6.15,overcast clouds
13,Muriae,BR,-21.1306,-42.3664,71.67,92,87,3.74,overcast clouds
14,Bilaspur,IN,22.0833,82.15,74.44,58,1,2.84,clear sky
15,Aginskoye,RU,51.1,114.53,42.28,57,15,18.52,few clouds
16,Rikitea,PF,-23.1203,-134.9692,74.68,78,46,16.37,scattered clouds
17,Bethel,US,41.3712,-73.414,56.66,83,90,0.0,light rain
18,Avarua,CK,-21.2078,-159.775,77.05,57,75,11.5,broken clouds
19,Malakal,SS,9.5334,31.6605,74.62,51,70,0.65,broken clouds
20,Dikson,RU,73.5069,80.5464,11.52,88,100,18.39,overcast clouds
21,Goundam,ML,16.4145,-3.6708,90.72,29,86,9.93,overcast clouds
22,Aklavik,CA,68.2191,-135.0107,21.92,96,100,1.57,overcast clouds
23,Carnarvon,AU,-24.8667,113.6333,75.27,53,40,14.97,scattered clouds
24,Ushuaia,AR,-54.8,-68.3,35.26,69,75,20.71,light snow
25,Chokurdakh,RU,70.6333,147.9167,-2.58,98,100,2.17,overcast clouds
26,Faanui,PF,-16.4833,-151.75,76.62,86,100,9.35,light rain
27,San Patricio,US,28.017,-97.5169,80.89,82,0,11.3,clear sky
28,Moron,AR,-34.6534,-58.6198,67.96,45,0,4.0,clear sky
29,Bredasdorp,ZA,-34.5322,20.0403,51.28,93,0,0.0,clear sky
30,Kasempa,ZM,-13.4584,25.8338,66.38,73,100,4.16,overcast clouds
31,Bubaque,GW,11.2833,-15.8333,82.15,77,95,8.88,overcast clouds
32,Bluff,NZ,-46.6,168.3333,57.29,83,100,14.74,light rain
33,Souillac,MU,-20.5167,57.5167,76.35,83,40,11.5,scattered clouds
34,New Norfolk,AU,-42.7826,147.0587,57.65,56,85,3.0,overcast clouds
35,Saint-Joseph,RE,-21.3667,55.6167,71.98,78,45,13.38,scattered clouds
36,Albany,US,42.6001,-73.9662,50.61,86,99,3.65,overcast clouds
37,Khatanga,RU,71.9667,102.5,0.86,90,99,16.11,overcast clouds
38,Isiro,CD,2.7739,27.616,64.38,100,100,2.42,light rain
39,Port Alfred,ZA,-33.5906,26.891,56.48,79,0,10.69,clear sky
40,Hilo,US,19.7297,-155.09,76.73,86,90,5.75,light rain
41,Nikolskoye,RU,59.7035,30.7861,36.01,85,100,11.39,light rain
42,Yellowknife,CA,62.456,-114.3525,40.41,100,75,13.8,light rain
43,Berdigestyakh,RU,62.0989,126.6992,33.48,95,100,7.14,overcast clouds
44,Sokol,RU,59.4617,40.1206,26.76,93,39,5.46,light snow
45,Hermanus,ZA,-34.4187,19.2345,53.91,79,0,9.33,clear sky
46,Sungairaya,ID,0.7,108.9,88.03,62,92,1.83,overcast clouds
47,Tuatapere,NZ,-46.1333,167.6833,59.77,92,100,4.54,overcast clouds
48,Sitka,US,57.0531,-135.33,44.49,65,40,3.44,scattered clouds
49,Ahipara,NZ,-35.1667,173.1667,65.7,71,9,6.2,clear sky
50,Provideniya,RU,64.3833,-173.3,26.71,59,0,8.95,clear sky
51,Qaanaaq,GL,77.484,-69.3632,-4.74,58,0,11.03,clear sky
52,Castro,BR,-24.7911,-50.0119,55.67,97,94,8.59,overcast clouds
53,Cabedelo,BR,-6.9811,-34.8339,79.47,80,97,8.39,overcast clouds
54,Hobart,AU,-42.8794,147.3294,58.01,70,75,3.0,broken clouds
55,Punta Arenas,CL,-53.15,-70.9167,33.91,93,90,16.11,light shower snow
56,Labytnangi,RU,66.6572,66.4183,17.06,91,99,4.03,overcast clouds
57,Kodiak,US,57.79,-152.4072,41.9,86,44,5.79,scattered clouds
58,Cape Town,ZA,-33.9258,18.4232,58.26,70,0,4.0,clear sky
59,Trelew,AR,-43.249,-65.3051,70.07,24,100,40.29,overcast clouds
60,Saint-Philippe,RE,-21.3585,55.7679,73.22,80,48,14.92,scattered clouds
61,Magadi,IN,12.9667,77.2333,73.74,81,97,4.56,overcast clouds
62,Gorazde,BA,43.6669,18.9764,37.17,90,1,1.01,clear sky
63,Pochutla,MX,15.7432,-96.4661,78.82,90,100,3.06,overcast clouds
64,Vestmannaeyjar,IS,63.4427,-20.2734,44.78,90,100,2.62,overcast clouds
65,Lavrentiya,RU,65.5833,-171.0,22.21,79,100,9.44,overcast clouds
66,Thompson,CA,55.7435,-97.8558,30.36,86,75,4.61,broken clouds
67,Vaini,TO,-21.2,-175.2,80.76,74,20,8.05,few clouds
68,Harper,LR,4.375,-7.7169,77.32,83,100,7.38,overcast clouds
69,Bodmin,GB,50.4715,-4.7243,55.51,93,17,8.05,few clouds
70,Humaita,BR,-7.5061,-63.0208,75.11,93,52,2.3,broken clouds
