City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Nehe,CN,2021-10-20 22:25:10,48.4833,124.8333,32.09,65,86,5.44
1,Male,MV,2021-10-20 22:25:11,4.1748,73.5089,82.35,78,40,9.22
2,Agrado,CO,2021-10-20 22:25:11,2.2573,-75.7714,76.86,72,50,4.74
3,Cape Town,ZA,2021-10-20 22:20:30,-33.9258,18.4232,63.09,76,0,1.99
4,Bilibino,RU,2021-10-20 22:25:12,68.0546,166.4372,0.59,96,100,2.33
5,Hobart,AU,2021-10-20 22:25:06,-42.8794,147.3294,59.05,68,75,5.01
6,Samfya,ZM,2021-10-20 22:25:13,-11.3649,29.5565,74.88,45,55,13.76
7,Punta Arenas,CL,2021-10-20 22:25:14,-53.15,-70.9167,51.82,50,40,19.57
8,Washougal,US,2021-10-20 22:25:15,45.5826,-122.3534,64.08,67,75,5.01
9,Airai,TL,2021-10-20 22:25:15,-8.9266,125.4092,63.73,68,98,1.54
10,Tupik,RU,2021-10-20 22:20:16,54.4253,119.9327,24.58,83,95,3.29
11,Ushuaia,AR,2021-10-20 22:25:16,-54.8,-68.3,51.46,40,20,13.8
12,Sinnamary,GF,2021-10-20 22:25:17,5.3833,-52.95,80.53,79,36,8.75
13,Erzincan,TR,2021-10-20 22:25:18,39.75,39.5,34.9,75,0,1.14
14,San Cristobal,VE,2021-10-20 22:25:18,7.7669,-72.225,77.18,69,12,2.08
15,Provideniya,RU,2021-10-20 22:25:19,64.3833,-173.3,28.51,74,0,0.0
16,Butaritari,KI,2021-10-20 22:25:19,3.0707,172.7902,81.46,74,28,9.73
17,Vaini,TO,2021-10-20 22:25:20,-21.2,-175.2,78.96,89,75,8.05
18,Tiksi,RU,2021-10-20 22:25:21,71.6872,128.8694,11.07,94,100,5.46
19,Albany,US,2021-10-20 22:25:21,42.6001,-73.9662,66.92,58,67,6.51
20,Rikitea,PF,2021-10-20 22:25:22,-23.1203,-134.9692,74.68,73,10,20.45
21,Bathsheba,BB,2021-10-20 22:25:23,13.2167,-59.5167,83.01,78,40,21.85
22,Barrow,US,2021-10-20 22:25:23,71.2906,-156.7887,28.42,86,90,27.63
23,Le Mans,FR,2021-10-20 22:20:58,48.0,0.2,57.61,67,90,21.85
24,Tasiilaq,GL,2021-10-20 22:25:24,65.6145,-37.6368,42.96,50,66,10.33
25,Khash,IR,2021-10-20 22:25:25,28.2211,61.2158,64.99,39,0,3.96
26,Klaksvik,FO,2021-10-20 22:25:25,62.2266,-6.589,41.92,66,78,36.13
